n,topo_dir,kp_class,density,seed,n_nodes,n_arcs,topology,n_macroitems,algorithm_ms
1000,inforest,neg_weakly_corr,sparse,9,1000,302,inforest,841,0.366000
1000,inforest,neg_weakly_corr,sparse,10,1000,296,inforest,837,0.350000
1000,inforest,neg_weakly_corr,tree,1,1000,999,inforest,435,4.932000
1000,inforest,neg_weakly_corr,tree,2,1000,999,inforest,419,6.628000
1000,inforest,neg_weakly_corr,tree,3,1000,999,inforest,407,6.514000
1000,inforest,neg_weakly_corr,tree,4,1000,999,inforest,400,9.112000
1000,inforest,neg_weakly_corr,tree,5,1000,999,inforest,423,6.498000
1000,inforest,neg_weakly_corr,tree,6,1000,999,inforest,428,4.717000
1000,inforest,neg_weakly_corr,tree,7,1000,999,inforest,388,3.926000
1000,inforest,neg_weakly_corr,tree,8,1000,999,inforest,407,6.699000
1000,inforest,neg_weakly_corr,tree,9,1000,999,inforest,453,6.609000
1000,inforest,neg_weakly_corr,tree,10,1000,999,inforest,410,12.041000
1000,inforest,strongly_corr,dense,1,1000,910,inforest,450,3.337000
1000,inforest,strongly_corr,dense,2,1000,891,inforest,463,2.650000
1000,inforest,strongly_corr,dense,3,1000,908,inforest,447,3.371000
1000,inforest,strongly_corr,dense,4,1000,904,inforest,461,3.413000
1000,inforest,strongly_corr,dense,5,1000,900,inforest,462,2.479000
1000,inforest,strongly_corr,dense,6,1000,917,inforest,432,4.475000
1000,inforest,strongly_corr,dense,7,1000,890,inforest,462,2.666000
1000,inforest,strongly_corr,dense,8,1000,905,inforest,444,2.550000
1000,inforest,strongly_corr,dense,9,1000,900,inforest,441,3.684000
1000,inforest,strongly_corr,dense,10,1000,890,inforest,463,3.069000
1000,inforest,strongly_corr,medium,1,1000,570,inforest,550,0.630000
1000,inforest,strongly_corr,medium,2,1000,608,inforest,548,0.829000
1000,inforest,strongly_corr,medium,3,1000,605,inforest,541,1.033000
1000,inforest,strongly_corr,medium,4,1000,604,inforest,539,0.903000
1000,inforest,strongly_corr,medium,5,1000,608,inforest,563,0.733000
1000,inforest,strongly_corr,medium,6,1000,613,inforest,540,1.163000
1000,inforest,strongly_corr,medium,7,1000,606,inforest,541,1.017000
1000,inforest,strongly_corr,medium,8,1000,593,inforest,534,1.267000
1000,inforest,strongly_corr,medium,9,1000,584,inforest,562,0.698000
1000,inforest,strongly_corr,medium,10,1000,596,inforest,548,1.167000
1000,inforest,strongly_corr,sparse,1,1000,303,inforest,620,0.364000
